,des_id,par_idx,text,weak_label,gold_label
3716,272,4,"REQUIRED EXPERIENCE/KNOWLEDGE, SKILLS & ABILITIES: 3+ years’ work experience as a data scientist preferably in healthcare environment but candidates with suitable experience in other industries will be considered
Knowledge of big data technologies (e.g., Hadoop, Spark
Technical Proficiency: Strong programming skills in languages such as Python and R, and experience with machine learning frameworks like TensorFlow, Keras, or PyTorch.
Statistical Analysis: Excellent understanding of statistical methods and machine learning algorithms, including k-NN, Naive Bayes, SVM, and neural networks.
Experience with Agentic Workflows: Familiarity with designing and implementing agentic workflows that leverage AI agents for autonomous operations.
RAG Techniques: Knowledge of retrieval-augmented generation techniques and their application in enhancing AI model outputs.
Model Fine-Tuning Expertise: Proven experience in fine-tuning models for specific tasks, ensuring they meet the required performance metrics.
Data Visualization: Proficiency in data visualization tools (e.g., Tableau, Power BI) to present complex data insights effectively.
Database Management: Experience with SQL and NoSQL databases, data warehousing, and ETL processes.
Problem-Solving Skills: Strong analytical and problem-solving abilities, with a focus on developing innovative solutions to complex challenges.
PREFERRED EDUCATION:
Master’s degree in computer science, Data Science, Statistics, or a related field",comp_benefits,comp_benefits
769,61,9,"This position is part of our Federal Solutions team. The Federal Solutions segment delivers resources to our US government customers that ensure the success of missions around the globe. Our intelligent employees drive the state of the art as they provide services and solutions in the areas of defense, security, intelligence, infrastructure, and environmental. We promote a culture of excellence and close-knit teams that take pride in delivering, protecting, and sustaining our nation's most critical assets, from Earth to cyberspace. Throughout the company, our people are anticipating what’s next to deliver the solutions our customers need now.",job,job
14410,1062,4,"Responsibilities About The Tiktok Monetization Product Data Science Team
We're the TikTok Monetization Products data science team, who enables and champions data driven decision making. Our Vision is to become the world class data science team, where data is used rigorously to drive all decision making. Our Mission is to drive monetization and sustainable revenue growth for TikTok through data science.",comp_benefits,comp_benefits
16508,1176,2,"An important part of the Toyota family is Toyota Financial Services (TFS), the finance and insurance brand for Toyota and Lexus in North America. While TFS is a separate business entity, it is an essential part of this world-changing company- delivering on Toyota's vision to move people beyond what's possible. At TFS, you will help create best-in-class customer experience in an innovative, collaborative environment.",blurb,blurb
31853,2234,10,"Equal Opportunity Employment: PMHCC, Inc. is committed to equal opportunity. It is our policy to support equal employment for all employees and applicants without regard to race, religion, color, sex, sexual preferences, age, national origin, disability, behavioral health status, military status or any other characteristic protected by law.",dei_legal,dei_legal
9290,674,21,Flexible Work Discover how we’re evolving & leading the way for the future of work,job,job
64585,4577,20,"3 or more years’ experience in strategic planning, new research theme creation and partnerships management.",job,job
64818,4594,15,#LI-Hybrid The anticipated base pay range for this position is :,comp_benefits,comp_benefits
8131,597,0,"6101 Bollinger Canyon, Suite 351, San Ramon, CA 94583.
Duties:
Design, develop, and operate high-scale applications focusing on operational excellence, security and scalability.
Involve in the entire software development life cycle (SDLC) activities of projects and document technical specifications for future maintenance.
Compile and assess user feedback to recommend and improve existing software products.
Create technical specifications and cloud-based document application functionality as a reference for future maintenance and upgrades delivering the code.
Create user interfaces featuring clear and appealing designs such as Angular and React JS.
Collaborate with UI frameworks, ensuring cross-browser compatibility in development.
Develop Mobile Applications for iOS, Android using programming languages TypeScript technologies and Angular and databases for seamless application functionality.
Work on statistical analysis and machine tools to track projects and set daily goals.
Develop databases applications and create tables connecting them with applications with a team employing software development practices.
Position Requirement:",job,job
38626,2754,2,"The IS Strategy and Operations Specialist will report directly to the Chief Information Officer (CIO) and will work closely with IS leadership to identify opportunities, develop and implement strategic initiatives, and ensure the effective adoption of technology and innovative data solutions across the firm.",job,job
64014,4531,16,Preferred Qualifications Bachelor of Science in biological or biomedical sciences or neuroscience.,job,job
45824,3289,7,Be a part of this exciting journey with us! About the role,job,job
58669,4159,25,attempt to solicit money from you as part of the hiring process or as part of an employment offer;,job,job
62025,4406,10,Strategic Planning: Experience in driving strategies and plans supporting a compelling core and curated assortment.,job,job
4742,355,6,"This role is based in San Francisco, CA. We use a hybrid work model of 3 days in the office per week and offer relocation assistance to new employees.",location_sched,location_sched
67926,4811,2,"Employment Type
: Regular",location_sched,location_sched
6395,471,26,"​ We strive to do great things with great people. We lead with curiosity, humility, and a desire to make impact in a rapidly growing tech company. Every challenge is an opportunity to learn and innovate as one team. We're resilient and embrace challenges as they come. By constantly iterating and fostering an ""Always Day 1"" mindset, we achieve meaningful breakthroughs for ourselves, our company, and our users. When we create and grow together, the possibilities are limitless. Join us.",job,job
4334,315,3,"About the role: As a Special Investigations Manager, you'll work across the company to build – from the ground up – Roblox's new Special Investigations function: developing novel detection techniques, proactively hunting sophisticated threat actors, maturing and automating processes through tooling, and using cutting-edge approaches to keep the Roblox platform safe. The ideal candidate will have an exceptional investigations background, be an innovative self-starter and collaborative team-player, and is uniquely motivated by Roblox's mission of connecting a billion people with optimism and civility. Through your work, you'll become an expert in Roblox's internal and external safety practices, advance our investigative capabilities and tooling, and work across a variety of systems to surface, analyze, and ultimately disrupt threat actors.",job,job
63575,4502,34,3. ADDITIONAL REQUIRED DOCUMENTS: Applicants are required to submit the following supporting documentation if applicable:,job,job
51839,3707,3,"This program is best suited for students who will not be seeking full time employment following this role, as this program is non-conversion eligible.",location_sched,location_sched
68177,4827,6,"Compensation:
This is a progression position and level will be based on the candidate’s experience and education, and current business needs. The annual base salary range for this role is:",comp_benefits,comp_benefits
43775,3149,9,"What will you enjoy from working with us? 120 hours of PTO and 32 hours of unplanned PTO (sick) time per year
11 paid Holidays
401k with company match (100% on 1st 3% and 50% in 4-5%)
Blue Cross Blue Shield Medical & Prescription Plans (Pick from 2 plans)
MetLife Dental (Pick from 2 plans)
MetLife Vision
Voluntary Life Insurance Policies for Team Member & Family
100% Employer Paid Life Insurance Policy for Team Member and their families
100% Employer Paid Short Term Disability
100% Employer Paid Long Term Disability
Critical Illness Insurance
Accident Insurance
Hospital Indemnity Insurance
Legal Plan
Paid Volunteer Time (Charity)
ADP LifeMart Discounts for Team Members
EAP (Employee Assistance Program)
Safety Shoe Allotment
Prescription Safety Glasses Allotment
Team Wear Allotment
Recognition for your hard work and achievements!
Opportunity for new challenges! We are growing!
Paid training",dei_legal,dei_legal
39202,2791,5,"BASIC QUALIFICATIONS Bachelor's degree in BI, finance, engineering, statistics, computer science, mathematics, finance or equivalent quantitative field
3+ years of analyzing and interpreting data with Redshift, Oracle, NoSQL etc. experience
Experience with data modeling, warehousing and building ETL pipelines
Experience with data visualization using Tableau, Quicksight, or similar tools",job,job
58253,4133,8,"QUALIFICATIONS
Education:
Bachelor's Degree: Bachelor’s degree in Education, Business, Research and Statistics, Human Resources, Organizational Development, or related field. (Master’s preferred).",job,job
42460,3037,4,"Team video https://youtu.be/zD_6Lzw8raE BASIC QUALIFICATIONS
3+ years of building models for business application experience
PhD, or Master's degree and 4+ years of CS, CE, ML or related field experience
Experience programming in Java, C++, Python or related language
Experience in any of the following areas: algorithms and data structures, parsing, numerical optimization, data mining, parallel and distributed computing, high-performance computing
PREFERRED QUALIFICATIONS
Experience using Unix/Linux
Experience in professional software development",job,job
12408,906,35,"WFH Stipend: $150 per month to cover the costs of working from home. Productivity Stipend: $300 per year to use on Audible, Calm, Masterclass, Duolingo, Grammarly and so much more.",comp_benefits,comp_benefits
54607,3887,3,"Resilinc | Innovation with Purpose. Intelligence with Impact. The Business Development Representative will help power the future of resilient supply chains. As a BDR, you’ll be on the front lines of Resilinc’s growth strategy, engaging inbound leads and generating outbound interest with prospective customers. You’ll connect supply chain and procurement leaders with our team of experts and show how Resilinc’s cutting-edge platform delivers real-time risk intelligence, predicts disruptions before they hit, and drives autonomous compliance.",job,job
26190,1795,27,"o Mathematical Reasoning - Adds, subtracts, multiplies, or divides quickly, correctly, and in a way that allows one to solve work-related issues.",job,job
62762,4446,28,"Problem Solving: Extensive knowledge of approaches, tools, techniques for recognizing, anticipating, and resolving organizational, operational or process problems; ability to apply knowledge of problem solving appropriately to diverse situations",dei_legal,dei_legal
56100,3973,22,"Sales Territory: $175,800 - $200,700 for Lead Machine Learning Engineer McLean, VA: $193,400 - $220,700 for Lead Machine Learning Engineer",job,job
51024,3645,20,"As a world leader in the semiconductor industry, Micron is dedicated to your personal wellbeing and professional growth. Micron benefits are designed to help you stay well, provide peace of mind and help you prepare for the future. We offer a choice of medical, dental and vision plans in all locations enabling team members to select the plans that best meet their family healthcare needs and budget. Micron also provides benefit programs that help protect your income if you are unable to work due to illness or injury, and paid family leave. Additionally, Micron benefits include a robust paid time-off program and paid holidays. For additional information regarding the Benefit programs available, please see the Benefits Guide posted on micron.com/careers/benefits.",blurb,blurb
53589,3829,5,"The range(s) listed above is the expected annual salary/OTE (On-Target Earnings) for this role, subject to change.",comp_benefits,comp_benefits
35705,2534,20,"Telework Disclaimer: This position may be eligible for telework. Please note, all HHS positions are subject to state and agency telework policies in addition to the discretion of the direct supervisor and business needs.",job,job
929,78,8,"Job Description Huntington Ingalls Industries (HII) Mission Technologies Warfare Systems partners with the DoD and defense innovation ecosystem to rapidly acquire and field critical and emerging technologies, particularly integrated communications, networking, and Systems-of-Systems (SoS) technologies, to enhance national security and warfighter capabilities. Through a multiagency contracting approach, the Collaborative Operations for Battlespace Resilient Architecture (COBRA) initiative focuses on advancing these technologies to achieve multi-domain battlespace integration and resilient command and control. This includes a broad range of services such as systems engineering, cybersecurity, operational integration, and data analytics, all aimed at modernizing communications and ensuring seamless information exchange for the DoD and its allies.",job,job
66375,4700,3,"Job Code
: A206085",job,job
17448,1240,12,"Regularly collaborate with cross-functional partners—including Data Science, Consumer Insights, CP&A, and Product Analytics—to align on priorities, plan initiatives, and drive new projects forward.",job,job
49906,3577,2,"Employment Type
: Regular",location_sched,location_sched
36566,2605,12,Minimum Leadership Experience: None,job,job
10286,751,2,"Employment Type
: Regular",location_sched,location_sched
35049,2491,7,"Open Date
08/01/2025 Position Number
8NE003",job,job
28009,1928,3,"Preferred qualifications:
Experience with data warehousing or data modeling concepts.",job,job
25646,1743,12,Rice University HR | Benefits: https://knowledgecafe.rice.edu/benefits Rice Mission and Values: Mission and Values | Rice University,blurb,blurb
66048,4683,1,"Location
: Los Angeles",location_sched,location_sched
21929,1510,20,"Inspiring creativity is at the core of TikTok's mission. Our innovative product is built to help people authentically express themselves, discover and connect – and our global, diverse teams make that possible. Together, we create value for our communities, inspire creativity and bring joy - a mission we work towards every day.",dei_legal,dei_legal
3175,236,0,Exp: 6+ Years 6+ Years of Industry Work Experience,job,job
13157,957,10,"WE VALUE: Understanding of data science, linear algebra, algorithms, and statistics
Demonstrated ability to develop efficient and high-quality software and in-depth knowledge of computer programming language such as Python, JavaScript, and C++
Experience in developing and deploying end-to-end AI/ML solutions
Understanding of data warehousing
Willingness to learn and continue developing knowledge in an up-and-coming field
Excellent problem-solving skills with the ability to thrive in a demanding fast-paced work environment
Strong interpersonal and communication skills and a willingness to collaborate cross-functionally with different teams",job,job
17880,1262,22,"Capital One offers a comprehensive, competitive, and inclusive set of health, financial and other benefits that support your total well-being. Learn more at the Capital One Careers website. Eligibility varies based on full or part-time status, exempt or non-exempt status, and management level.",dei_legal,dei_legal
6091,454,0,"Position Information Position Title
Business Intelligence and Database Analyst",job,job
13940,1023,19,The duties and responsibilities in this posting are representative categories to be used in deciding whether to apply for this position. This is not an exhaustive list of the position’s duties.,job,job
14938,1093,6,"Miniumum Qualifications: Bachelor degree in Mathematics, Statistics, Computer Science, or Analytics
At least 3 years of Data Science experience
Causal Inference, Experimentation, Product Analytics, Machine Learning, and Statistics expertise
SQL & Python or R proficiency
Preferred Qualifications:",job,job
30040,2088,6,500023 Financial Services SMH Work Shift:,location_sched,location_sched
15019,1097,8,"Collaborate with cross-functional teams, including product managers, engineers and data scientists, to define problem statements, define roadmaps and execute on priorities.",job,job
26734,1835,2,This position will work on-site in Miami Florida Position Summary:,location_sched,location_sched
33857,2399,18,"Knowledge of regulatory compliance related to data management. Experience with business intelligence tools (e.g., Tableau, Power BI).",job,job
41788,2988,11,"Benefits: Comprehensive Group Health Plans (Medical, Dental, and Vision).
Company-paid Short-Term and Long-Term Disability, Life, and AD&D Insurance.
Flexible Spending Accounts and Supplemental Plans Available.
Company-paid Training and Development Programs.
Generous Paid Time Off, Holiday Pay, and Sick Leave.
401k Retirement Plan with Company Match.
Critical Illness and Accident Insurance.
Employee Assistance Program.",dei_legal,dei_legal
65347,4633,5,"Responsibilities: Lead the development, iteration, and implementation of policies
Use data-driven insights to inform policy research and development
Collaborate with cross-functional teams to ensure smooth execution of implementation projects
Support creator education initiatives and resources
Facilitate clear and consistent communication across teams and leadership
Qualifications",job,job
55062,3915,24,Diversity & Inclusion ​,dei_legal,dei_legal
3712,272,0,Job Description Job Summary,job,job
32815,2320,0,"About Us
Sophos is a global leader and innovator of advanced security solutions for defeating cyberattacks. The company acquired Secureworks in February 2025, bringing together two pioneers that have redefined the cybersecurity industry with their innovative, native AI-optimized services, technologies and products. Sophos is now the largest pure-play Managed Detection and Response (MDR) provider, supporting more than 28,000 organizations. In addition to MDR and other services, Sophos’ complete portfolio includes industry-leading endpoint, network, email, and cloud security that interoperate and adapt to defend through the Sophos Central platform. Secureworks provides the innovative, market-leading Taegis XDR/MDR, identity threat detection and response (ITDR), next-gen SIEM capabilities, managed risk, and a comprehensive set of advisory services. Sophos sells all these solutions through reseller partners, Managed Service Providers (MSPs) and Managed Security Service Providers (MSSPs) worldwide, defending more than 600,000 organizations worldwide from phishing, ransomware, data theft, other every day and state-sponsored cybercrimes. The solutions are powered by historical and real-time threat intelligence from Sophos X-Ops and the newly added Counter Threat Unit (CTU). Sophos is headquartered in Oxford, U.K. More information is available at www.sophos.com.",blurb,blurb
56132,3975,9,"At APL, we celebrate our differences of perspectives and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL’s campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities at http://www.jhuapl.edu/careers.",blurb,blurb
37532,2671,11,"Elevance Health operates in a Hybrid Workforce Strategy. Unless specified as primarily virtual by the hiring manager, associates are required to work at an Elevance Health location at least once per week, and potentially several times per week. Specific requirements and expectations for time onsite will be discussed as part of the hiring process.",location_sched,location_sched
44755,3215,17,"Ability to look for ways to automate, build processes and reports with future scalability in mind",job,job
18291,1292,8,"Adapt and refine knowledge base content to align with US cultural norms and user expectations
Qualifications",job,job
